"Hiragana","Kanji","English","Example","Translation"
"あう","会う","to meet","週末[しゅうまつ]に友達[ともだち]と映画館[えいがかん]で会[あ]います。","I will meet my friend at the movie theater on the weekend."
"あける","開ける","to open","暑[あつ]いので、窓[まど]を大[おお]きく開[あ]けます。","It's hot, so I will open the window wide."
"あげる","","to give","誕生日[たんじょうび]に友達[ともだち]にプレゼントをあげます。","I will give a present to my friend for their birthday."
"あそぶ","遊ぶ","to play, to socialize","子供[こども]たちは公園[こうえん]で一日中[いちにちじゅう]遊[あそ]びます。","The children play all day at the park."
"あつまる","集まる","to assemble","会議[かいぎ]のために、午後[ごご]3時[さんじ]に会議室[かいぎしつ]に集[あつ]まります。","We will assemble in the meeting room at 3 p.m. for the meeting."
"あつめる","集める","to collect","趣味[しゅみ]で、世界中[せかいじゅう]の切手[きって]を集[あつ]めています。","As a hobby, I collect stamps from all over the world."
"あらう","洗う","to wash","食事[しょくじ]の後に、皿[さら]をきれいに洗[あら]います。","I will wash the dishes cleanly after the meal."
"ある","","to be, to exist","図書館[としょかん]にはたくさんの本[ほん]があります。","There are many books in the library."
"あるく","歩く","to walk","毎日[まいにち]、公園[こうえん]を30分[さんじゅっぷん]歩[ある]きます。","I walk in the park for 30 minutes every day."
"いう","言う","to say","先生[せんせい]は、授業中[じゅぎょうちゅう]に静[しず]かにしてくださいと言[い]いました。","The teacher said, ""Please be quiet during class."""
"いく","行く","to go","来週[らいしゅう]、京都[きょうと]に旅行[りょこう]に行[い]きます。","I will go on a trip to Kyoto next week."
"いそぐ","急ぐ","to hurry","電車[でんしゃ]に遅[おく]れるので、急[いそ]いで駅[えき]まで行[い]きます。","I will hurry to the station because I am late for the train."
"いる","","to be, to exist","部屋[へや]に椅子[いす]が３つあります。","There are three chairs in the room."
"いれる","入れる","to put in","冷蔵庫[れいぞうこ]にジュースを入[い]れます。","I will put the juice in the refrigerator."
"うごく","動く","to move","地震[じしん]で建物[たてもの]が少[すこ]し動[うご]きました。","The building moved a little due to the earthquake."
"うたう","歌う","to sing","カラオケで好[す]きな歌[うた]を歌[うた]います。","I will sing my favorite song at karaoke."
"うまれる","生まれる","to be born","私[わたし]の妹[いもうと]は、去年[きょねん]大阪[おおさか]で生[う]まれました。","My younger sister was born in Osaka last year."
"うる","売る","to sell","この店[みせ]は、新鮮[しんせん]な野菜[やさい]を売[う]っています。","This store sells fresh vegetables."
"えらぶ","選ぶ","to choose","旅行[りょこう]のホテルを慎重[しんちょう]に選[えら]びます。","I will carefully choose a hotel for the trip."
"おきる","起きる","to wake up, to get up","毎朝[まいあさ]６時[ろくじ]に起[お]きて、ランニングに行[い]きます。","I wake up at 6 a.m. every morning and go for a run."
"おくる","送る","to send","誕生日[たんじょうび]に友達[ともだち]にプレゼントを送[おく]ります。","I will send a present to my friend for their birthday."
"おこる","怒る","to get angry","子供[こども]が宿題[しゅくだい]をしないので、お母[かあ]さんが怒[おこ]っています。","The mother is angry because the child is not doing their homework."
"おしえる","教える","to teach, to tell","田中[たなか]先生[せんせい]は、私[わたし]たちに日本語[にほんご]を教[おし]えてくれます。","Mr. Tanaka teaches us Japanese."
"おす","押す","to push","エレベーターのボタンを押[お]します。","I will push the elevator button."
"おとす","落とす","to drop","電車[でんしゃ]の中で、携帯電話[けいたいでんわ]を落[お]としてしまいました。","I dropped my cell phone on the train."
"おどる","踊る","to dance","パーティーでみんなで楽[たの]しく踊[おど]ります。","We will dance happily together at the party."
"おぼえる","覚える","to learn, to remember","新[あたら]しい単語[たんご]を毎日[まいにち]10個[じゅっこ]覚[おぼ]えます。","I memorize 10 new words every day."
"おもう","思う","to think","明日[あした]は晴[は]れると思[おも]います。","I think it will be sunny tomorrow."
"およぐ","泳ぐ","to swim","夏[なつ]は、海[うみ]でたくさん泳[およ]ぎます。","In the summer, I swim a lot in the sea."
"おりる","降りる","to get off","次[つぎ]の駅[えき]で電車[でんしゃ]を降[お]ります。","I will get off the train at the next station."
"おわる","終わる","to end","会議[かいぎ]は午後[ごご]5時[ごじ]に終[お]わります。","The meeting will end at 5 p.m."
"かう","買う","to buy","スーパーで、夕食[ゆうしょく]の材料[ざいりょう]を買[か]います。","I will buy ingredients for dinner at the supermarket."
"かう","飼う","to keep a pet","家[いえ]で猫[ねこ]を２匹[にひき]飼[か]っています。","I have two cats at home."
"かえす","返す","to return something","図書館[としょかん]で借[か]りた本[ほん]を返[かえ]します。","I will return the book I borrowed from the library."
"かえる","帰る","to go home","仕事[しごと]が終[お]わって、家[いえ]に帰[かえ]ります。","I will go home after work."
"かかる","かかる","to take","東京[とうきょう]から大阪[おおさか]まで新幹線[しんかんせん]で３時間[さんじかん]かかります。","It takes 3 hours by Shinkansen from Tokyo to Osaka."
"かく","描く","to draw","趣味[しゅみ]で、風景[ふうけい]の絵[え]を描[か]いています。","As a hobby, I draw landscape paintings."
"かく","書く","to write","友達[ともだち]に手紙[てがみ]を書[か]いて送[おく]ります。","I will write a letter to my friend and send it."
"（かぎを）かける","（鍵を）かける","to lock","外出[がいしゅつ]する前[まえ]に、必[かなら]ず鍵[かぎ]をかけます。","I always lock the door before going out."
"（でんわを）かける","（電話を）かける","to make a phone call","明日[あした]の予定[よてい]について、友達[ともだち]に電話[でんわ]をかけます。","I will call my friend about tomorrow's plans."
"（めがねを）かける","（眼鏡を）かける","to wear glasses","本[ほん]を読[よ]むとき、眼鏡[めがね]をかけます。","I wear glasses when I read a book."
"かす","貸す","to lend","友達[ともだち]に傘[かさ]を貸[か]してあげます。","I will lend my friend an umbrella."
"かつ","勝つ","to win","サッカーの試合[しあい]で、私[わたし]たちのチームが勝[か]ちました。","Our team won the soccer match."
"かぶる","","to wear (hats etc)","寒[さむ]いので、帽子[ぼうし]をかぶって出[で]かけます。","It's cold, so I will wear a hat and go out."
"かりる","借りる","to borrow","図書館[としょかん]で、面白[おもしろ]い小説[しょうせつ]を借[か]りました。","I borrowed an interesting novel from the library."
"（のどが）かわく","","to be thirsty","たくさん運動[うんどう]したので、のどが渇[かわ]きました。","I am thirsty because I exercised a lot."
"かんがえる","考える","to think","将来[しょうらい]について、ゆっくり考[かんが]えたいです。","I want to think slowly about my future."
"がんばる","頑張る","to do one's best, to endure","試験[しけん]に合格[ごうかく]するために、一生懸命[いっしょうけんめい]頑張[がんば]ります。","I will do my best to pass the exam."
"きく","聞く、聴く","to hear, to listen","毎朝[まいあさ]、音楽[おんがく]を聞[き]きながら料理[りょうり]をします。","I cook while listening to music every morning."
"きこえる","聞こえる","to be audible","遠[とお]くから、鳥[とり]の鳴[な]き声[ごえ]が聞[き]こえます。","I can hear the sound of birds chirping from afar."
"きめる","決める","to decide","旅行[りょこう]の日程[にってい]を、みんなで決[き]めます。","We will decide the travel schedule together."
"きる","着る","to wear","パーティーに、きれいなドレスを着[き]ていきます。","I will wear a beautiful dress to the party."
"くもる","曇る","to be cloudy","今日[きょう]は一日中[いちにちじゅう]曇[くも]っていて、少[すこ]し寒[さむ]いです。","It's cloudy all day today and a little cold."
"くる","来る","to come","週末[しゅうまつ]に、友達[ともだち]が遊[あそ]びに来[き]ます。","My friend will come to visit on the weekend."
"こたえる","答える","to answer","先生[せんせい]の質問[しつもん]に、正確[せいかく]に答[こた]えます。","I will answer the teacher's question accurately."
"こむ","混む","to be crowded","朝[あさ]の電車[でんしゃ]は、いつもとても混[こ]んでいます。","The morning train is always very crowded."
"しぬ","死ぬ","to die","長[なが]い間飼[あいだか]っていたペットが死[し]んで、悲[かな]しいです。","I am sad because my pet, which I had for a long time, died."
"しめる","閉める","to close","寝[ね]る前[まえ]に、窓[まど]をしっかり閉[し]めます。","I close the window tightly before going to bed."
"しらせる","知らせる","to notify","会議[かいぎ]の時間[じかん]を、メールで知[し]らせます。","I will notify you of the meeting time by email."
"しる","知る","to know","田中[たなか]さんの電話番号[でんわばんごう]を知[し]っています。","I know Mr. Tanaka's phone number."
"すう","吸う","to smoke, to inhale","外[そと]でタバコを吸[す]います。","I will smoke a cigarette outside."
"（おなかが）すく","（お腹が）すく","to get hungry","昼ご飯[ひるごはん]を食[た]べる時間[じかん]がなかったので、お腹[なか]が空[す]きました。","I am hungry because I didn't have time to eat lunch."
"すてる","捨てる","to throw out","古[ふる]い雑誌[ざっし]をまとめて捨[す]てます。","I will throw away old magazines together."
"すむ","住む","to live","東京[とうきょう]に５年間[ごねんかん]住[す]んでいます。","I have been living in Tokyo for 5 years."
"する","","to do","週末[しゅうまつ]に何[なに]をしますか？","What will you do on the weekend?"
"すわる","座る","to sit","疲[つか]れたので、椅子[いす]に座[すわ]って休[やす]みます。","I am tired, so I will sit on a chair and rest."
"だす","出す","to put out, to hand in","レポートを先生[せんせい]に出[だ]します。","I will hand in the report to the teacher."
"たすける","助ける","to help","困[こま]っている人[ひと]を、積極的[せっきょくてき]に助[たす]けます。","I actively help people in need."
"たつ","立つ","to stand up","授業中[じゅぎょうちゅう]、先生[せんせい]が「質問[しつもん]がある人[ひと]は立[た]ってください」と言[い]いました。","During the class, the teacher said, ""If you have any questions, please stand up."""
"たてる","建てる","to build","家族[かぞく]のために、新[あたら]しい家[いえ]を建[た]てます。","I will build a new house for my family."
"たべる","食べる","to eat","友達[ともだち]とレストランで美味[おい]しい料理[りょうり]を食[た]べます。","I will eat delicious food with my friends at a restaurant."
"ちがう","違う","to be different, to be wrong","あなたの意見[いけん]は、私[わたし]の意見[いけん]と少[すこ]し違[ちが]います。","Your opinion is a little different from mine."
"つかう","使う","to use","新[あたら]しいパソコンを使[つか]って、仕事[しごと]をします。","I will use a new computer for work."
"つかれる","疲れる","to get tired","一日中[いちにちじゅう]働[はたら]いて、とても疲[つか]れました。","I worked all day and am very tired."
"つく","着く","to arrive","電車[でんしゃ]に乗[の]って、３０分後[さんじゅっぷんご]に駅[えき]に着[つ]きます。","I will arrive at the station in 30 minutes by train."
"つくる","作る","to make","週末[しゅうまつ]に、友達[ともだち]のためにケーキを作[つく]ります。","I will make a cake for my friends on the weekend."
"（でんきを）つける","（電気を）つける","to switch on (a light)","部屋[へや]が暗[くら]いので、電気[でんき]をつけます。","The room is dark, so I will turn on the light."
"つたえる","伝える","to pass on a message","会議[かいぎ]の内容[ないよう]を、参加[さんか]できなかった人[ひと]に伝[つた]えます。","I will pass on the contents of the meeting to those who could not attend."
"つづける","続ける","to continue","毎日[まいにち]、日本語[にほんご]の勉強[べんきょう]を続[つづ]けます。","I will continue studying Japanese every day."
"できる","","to be able to","私[わたし]は、日本語[にほんご]で簡単[かんたん]な会話[かいわ]ができます。","I can have simple conversations in Japanese."
"てつだう","手伝う","to help","忙[いそが]しい友達[ともだち]の仕事[しごと]を、少[すこ]し手伝[てつだ]います。","I will help my busy friend with their work a little."
"でる","出る","to go out","明日[あした]の朝[あさ]、早[はや]く家[いえ]を出[で]て、空港[くうこう]へ向[む]かいます。","I will leave home early tomorrow morning and head to the airport."
"とおる","通る","to go through","この道[みち]をまっすぐ通[とお]ると、公園[こうえん]に着[つ]きます。","If you go straight down this road, you will arrive at the park."
"とまる","泊る","to stay somewhere","旅行[りょこう]で、温泉旅館[おんせんりょかん]に泊[と]まります。","I will stay at a hot spring inn during my trip."
"とまる","止まる","to stop","信号[しんごう]が赤[あか]になったので、車[くるま]が止[と]まりました。","The car stopped because the traffic light turned red."
"とる","取る","to take","テストで、良[よ]い点[てん]を取[と]ります。","I will get a good score on the test."
"とる","撮る","to take a photograph","旅行[りょこう]の思[おも]い出[で]に、たくさんの写真[しゃしん]を撮[と]ります。","I will take many photos as memories of my trip."
"なおす","直す","to repair","壊[こわ]れた時計[とけい]を、自分[じぶん]で直[なお]します。","I will repair the broken watch myself."
"なく","泣く","to cry","悲[かな]しい映画[えいが]を見[み]て、泣[な]いてしまいました。","I cried while watching a sad movie."
"なくす","","to lose","大切[たいせつ]な指輪[ゆびわ]をなくして、困[こま]っています。","I lost my important ring and am in trouble."
"なげる","投げる","to throw","野球[やきゅう]の試合[しあい]で、ボールを遠[とお]くに投[な]げます。","I will throw the ball far in the baseball game."
"ならう","習う","to learn","新[あたら]しい趣味[しゅみ]として、茶道[さどう]を習[なら]います。","I will learn the tea ceremony as a new hobby."
"なる","成る","to become","将来[しょうらい]、日本語[にほんご]の先生[せんせい]になりたいです。","I want to become a Japanese teacher in the future."
"ぬぐ","脱ぐ","to take off (clothes)","家[いえ]に帰[かえ]ったら、靴[くつ]を脱[ぬ]ぎます。","I will take off my shoes when I get home."
"ねる","寝る","to sleep, to go to bed","疲[つか]れたので、早[はや]く寝[ね]ます。","I am tired, so I will go to bed early."
"のぼる","登る、上る","to climb","来週[らいしゅう]、友達[ともだち]と富士山[ふじさん]に登[のぼ]ります。","I will climb Mt. Fuji with my friends next week."
"のむ","飲む","to drink","暑[あつ]いので、冷[つめ]たい水[みず]を飲[の]みます。","It's hot, so I will drink cold water."
"のる","乗る","to ride on a method of transport","電車[でんしゃ]に乗[の]って、目的地[もくてきち]まで行[い]きます。","I will take the train to my destination."
"はいる","入る","to enter","会議室[かいぎしつ]に入[はい]って、席[せき]に座[すわ]ります。","I will enter the meeting room and sit down."
"はく","","to wear (shoes, trousers etc)","新[あたら]しいズボンを履[は]いて、出[で]かけます。","I will wear new trousers and go out."
"はじめる","始める","to start","新[あたら]しいプロジェクトを、来週[らいしゅう]始[はじ]めます。","I will start a new project next week."
"はしる","走る","to run","健康[けんこう]のために、毎日[まいにち]公園[こうえん]を走[はし]ります。","I run in the park every day for my health."
"はたらく","働く","to work","東京[とうきょう]の会社[かいしゃ]で、エンジニアとして働[はたら]いています。","I work as an engineer at a company in Tokyo."
"はなす","話す","to talk","友達[ともだち]とカフェで、いろいろな話[はなし]をします。","I will talk about various things with my friends at a cafe."
"はらう","払う","to pay","レストランで、クレジットカードでお金[かね]を払[はら]います。","I will pay with a credit card at the restaurant."
"はれる","晴れる","to be sunny","明日[あした]は晴[は]れて、暖[あたた]かくなるでしょう。","It will be sunny and warm tomorrow."
"ひく","弾く","to play a musical instrument","趣味[しゅみ]で、ギターを弾[ひ]いています。","I play the guitar as a hobby."
"ひく","引く","to subtract, to draw a line","地図[ちず]に目的地[もくてきち]までの線[せん]を引[ひ]きます。","I will draw a line on the map to my destination."
"(かぜを）ひく","（風邪を）ひく","to catch a cold","昨日[きのう]から風邪[かぜ]を引[ひ]いて、熱[ねつ]があります。","I caught a cold yesterday and have a fever."
"ふえる","増える","to increase","最近[さいきん]、観光客[かんこうきゃく]が増[ふ]えています。","Recently, the number of tourists is increasing."
"（あめが）ふる","（雨が）降る","to rain","外[そと]は雨[あめ]が降[ふ]っているので、傘[かさ]を持[も]って出[で]かけます。","It's raining outside, so I will take an umbrella."
"へる","減る","to decrease","ダイエットをして、体重[たいじゅう]が減[へ]りました。","I went on a diet and lost weight."
"まがる","曲がる","to turn","次[つぎ]の角[かど]を左[ひだり]に曲[ま]がります。","I will turn left at the next corner."
"まける","負ける","to lose","ゲームで友達[ともだち]に負[ま]けて、悔[くや]しいです。","I lost to my friend in the game and am frustrated."
"まちがえる","間違える","to make a mistake","漢字[かんじ]の書[か]き方[かた]を間違[まちが]えました。","I made a mistake in how to write the kanji."
"まつ","待つ","to wait","駅[えき]で友達[ともだち]を３０分[さんじゅっぷん]待[ま]ちます。","I will wait for my friend at the station for 30 minutes."
"みえる","見える","to be visible","窓[まど]から、きれいな海[うみ]が見[み]えます。","You can see a beautiful sea from the window."
"みがく","磨く","to polish","毎晩[まいばん]、丁寧[ていねい]に歯[は]を磨[みが]きます。","I brush my teeth carefully every night."
"みせる","見せる","to show","旅行[りょこう]で撮[と]った写真[しゃしん]を、友達[ともだち]に見[み]せます。","I will show my friends the photos I took on my trip."
"みつける","見つける","to find","道[みち]に迷[まよ]って、地図[ちず]で目的地[もくてきち]を見[み]つけました。","I got lost and found my destination on the map."
"みる","見る","to see, to watch, to look","週末[しゅうまつ]に、映画館[えいがかん]で新[あたら]しい映画[えいが]を見[み]ます。","I will watch a new movie at the cinema on the weekend."
"もつ","持つ","to hold, to carry","重[おも]い荷物[にもつ]を持[も]っているので、少[すこ]し休憩[きゅうけい]します。","I am carrying heavy luggage, so I will take a short break."
"もっていく","持って行く","to take something","明日[あした]のピクニックに、お弁当[べんとう]を持[も]っていきます。","I will take a lunch box to the picnic tomorrow."
"もってくる","持って来る","to bring something","友達[ともだち]の家[いえ]に、お土産[みやげ]を持[も]って行[い]きます。","I will bring souvenirs to my friend's house."
"もどる","戻る","to return","わすれものをとりに家[いえ]に戻[もど]りました。","I returned home to get something I forgot."
"もらう","","to receive","誕生日[たんじょうび]に、友達[ともだち]からプレゼントをもらいました。","I received a present from my friend on my birthday."
"やすむ","休む","to rest","疲[つか]れたので、少[すこ]し休[やす]んでから、また仕事[しごと]をします。","I'm tired, so I'll rest for a bit before going back to work."
"（あめが）やむ","（雨が）やむ","to stop (raining)","雨[あめ]が止[や]んだら、公園[こうえん]へ散歩[さんぽ]に行[い]きましょう。","Let's go for a walk in the park when the rain stops."
"やめる","辞める","to quit","体調[たいちょう]が悪[わる]いので、タバコを辞[や]めることにしました。","I decided to quit smoking because I'm not feeling well."
"よぶ","呼ぶ","to call","タクシーを呼[よ]んで、駅[えき]まで行[い]きます。","I'll call a taxi and go to the station."
"よむ","読む","to read","寝[ね]る前[まえ]に、毎日[まいにち]本[ほん]を読[よ]むようにしています。","I try to read a book every day before going to bed."
"わかる","分かる","to understand","先生[せんせい]の説明[せつめい]がよく分[わ]かりました。","I understood the teacher's explanation well."
"わすれる","忘れる","to forget","大事[だいじ]な約束[やくそく]を忘[わす]れて、友達[ともだち]に謝[あやま]りました。","I forgot an important appointment and apologized to my friend."
"わらう","笑う","to laugh","面白[おもしろ]い映画[えいが]を見[み]て、たくさん笑[わら]いました。","I watched a funny movie and laughed a lot."
"あがる","上がる","to rise","花火[はなび]が夜空[よぞら]に上[あ]がりました。","The fireworks went up into the night sky."
"あく","開く","to open","店[みせ]のドアが朝[あさ]９時[くじ]に開[あ]きます。","The store door opens at 9 a.m."
"あげる","上げる","to raise","手[て]を上[あ]げて、質問[しつもん]に答[こた]えます。","I'll raise my hand and answer the question."
"（シャワーを）あびる","（シャワーを）浴びる","to have a shower","朝[あさ]起[お]きて、シャワーを浴[あ]びます。","I take a shower when I wake up in the morning."
"いきる","生きる","to live","自然[しぜん]の中[なか]で、ゆっくり生[い]きたいです。","I want to live slowly in nature."
"いじめる","","to bully","友達[ともだち]をいじめてはいけません。","You must not bully your friends."
"いる","要る","to need","新[あたら]しいパソコンが要[い]ります。","I need a new computer."
"（しけんに）うかる","（試験に）受かる","to pass (an exam)","一生懸命勉強[いっしょうけんめいべんきょう]して、試験[しけん]に受[う]かりました。","I studied hard and passed the exam."
"うける","受ける","to receive, to take an exam","来週[らいしゅう]、日本語能力試験[にほんごのうりょくしけん]を受[う]けます。","I will take the Japanese Language Proficiency Test next week."
"うつ","打つ","to hit","テニスでボールを打[う]ちます。","I hit the ball in tennis."
"おく","置く","to place, to put","机[つくえ]の上[うえ]に本[ほん]を置[お]きます。","I will put the book on the desk."
"おくれる","遅れる","to be late","電車[でんしゃ]が遅[おく]れて、学校[がっこう]に遅[おく]れました。","The train was delayed and I was late for school."
"おちる","落ちる","to fall","木[き]からりんごが落[お]ちました。","An apple fell from the tree."
"おもいだす","思い出す","to recall","昔[むかし]の友達[ともだち]のことを思[おも]い出[だ]しました。","I remembered my old friend."
"かえる","変える、替える、換える","to change","部屋[へや]の家具[かぐ]の配置[はいち]を変[か]えます。","I will change the arrangement of the furniture in the room."
"かたづける","片づける","to tidy up","部屋[へや]をきれいに片[かた]づけます。","I will tidy up the room neatly."
"かむ","","to chew","よく噛[か]んでご飯[ごはん]を食[た]べます。","I chew my food well and eat."
"かわる","変わる","to change","季節[きせつ]が変[か]わって、涼[すず]しくなりました。","The season changed and it became cooler."
"きまる","決まる","to be decided","旅行[りょこう]の計画[けいかく]が、やっと決[き]まりました。","The travel plan was finally decided."
"きる","切る","to cut","果物[くだもの]をナイフで切[き]ります。","I will cut the fruit with a knife."
"きをつける","気を付ける","to be careful","運転[うんてん]する時[とき]は、安全[あんぜん]に気[き]を付[つ]けます。","I will be careful when driving."
"くらべる","比べる","to compare","二[ふた]つの商品[しょうひん]を比[くら]べて、買[か]います。","I will compare two products and buy one."
"けす","消す","to switch off","部屋[へや]を出[で]る前[まえ]に、電気[でんき]を消[け]します。","I will turn off the lights before leaving the room."
"こまる","困る","to be in trouble, to be stuck","道[みち]に迷[まよ]って、とても困[こま]っています。","I am very troubled because I am lost."
"ころぶ","転ぶ","to fall over","道[みち]で転[ころ]んで、膝[ひざ]を怪我[けが]しました。","I fell on the road and injured my knee."
"こわす","壊す","to break","子供[こども]が遊[あそ]んでいて、花瓶[かびん]を壊[こわ]しました。","The child broke the vase while playing."
"こわれる","壊れる","to be broken","古[ふる]いパソコンが壊[こわ]れて、使[つか]えなくなりました。","My old computer broke and became unusable."
"さがす","探す","to search for","なくした鍵[かぎ]を、一生懸命探[いっしょうけんめいさが]します。","I will search hard for the lost keys."
"さがる","下がる","to fall","気温[きおん]が下[さ]がって、寒[さむ]くなりました。","The temperature dropped and it became cold."
"さく","咲く","to bloom","春[はる]になって、桜[さくら]が咲[さ]きました。","Spring came and the cherry blossoms bloomed."
"さわる","触る","to touch","展示品[てんじひん]に触[さわ]ってはいけません。","You must not touch the exhibits."
"しまう","閉まる","to close","店[みせ]のドアが夜[よる]１０時[じゅうじ]に閉[し]まります。","The store door closes at 10 p.m."
"しめる","","to wear (belt, etc.)","ベルトを締[し]めます。","I will fasten my belt."
"しらべる","調べる","to investigate","インターネットで、旅行[りょこう]の情報[じょうほう]を調[しら]べます。","I will look up travel information on the internet."
"しんじる","信じる","to believe","友達[ともだち]の言葉[ことば]を信[しん]じます。","I will believe my friend's words."
"たずねる","尋ねる","to ask","先生[せんせい]に質問[しつもん]を尋[たず]ねます。","I will ask the teacher a question."
"たずねる","訪ねる","to visit","来週[らいしゅう]、友達[ともだち]の家[いえ]を訪[たず]ねます。","I will visit my friend's house next week."
"たたく","叩く","to strike","ドアをノックして、入[はい]ります。","I will knock on the door and enter."
"たのしむ","楽しむ","to enjoy","友達[ともだち]とパーティーを楽[たの]しみます。","I will enjoy the party with my friends."
"たのむ","頼む","to request","友達[ともだち]に、宿題[しゅくだい]を手伝[てつだ]ってくれるように頼[たの]みます。","I will ask my friend to help me with my homework."
"ついていく","ついて行く","to go (with someone)","先生[せんせい]について行[い]きます。","I will go with the teacher."
"ついてくる","ついて来る","to come (with someone)","犬[いぬ]が私[わたし]について来[き]ます。","The dog comes with me."
"つける","付ける","to attach","書類[しょるい]にサインを付[つ]けます。","I will attach my signature to the document."
"つづく","続く","to continue","この道[みち]は、ずっと先[さき]まで続[つづ]いています。","This road continues far ahead."
"つとめる","勤める","to work","東京[とうきょう]の会社[かいしゃ]に勤[つと]めています。","I work at a company in Tokyo."
"つれていく","連れて行く","to take (someone)","子供[こども]を動物園[どうぶつえん]に連[つ]れて行[い]きます。","I will take my child to the zoo."
"つれてくる","連れて来る","to bring (someone)","友達[ともだち]を家[いえ]に連[つ]れて来[き]ます。","I will bring my friend home."
"でかける","出かける","to go out","週末[しゅうまつ]に、友達[ともだち]と映画[えいが]を見[み]に出[で]かけます。","I will go out with my friend to see a movie on the weekend."
"とどける","届ける","to deliver","友達[ともだち]に誕生日[たんじょうび]プレゼントを届[とど]けます。","I will deliver a birthday present to my friend."
"とぶ","飛ぶ、跳ぶ","to fly, to jump","鳥[とり]が空[そら]を飛[と]んでいます。","The bird is flying in the sky."
"とめる","止める","to stop","車[くるま]を安全[あんぜん]な場所[ばしょ]に止[と]めます。","I will stop the car in a safe place."
"なおる","治る","to get better","風邪[かぜ]が治[なお]って、元気[げんき]になりました。","My cold got better and I feel well."
"なくなる","亡くなる","to pass away","祖父[そふ]が亡[な]くなって、悲[かな]しいです。","I am sad because my grandfather passed away."
"なくなる","無くなる","to lose something","財布[さいふ]が無[な]くなって、困[こま]っています。","I am in trouble because my wallet is gone."
"ならぶ","並ぶ","to line up","コンサートのチケットを買[か]うために、列[れつ]に並[なら]びます。","I will line up to buy concert tickets."
"ならべる","並べる","to line up","本棚[ほんだな]に本[ほん]をきれいに並[なら]べます。","I will line up the books neatly on the bookshelf."
"にげる","逃げる","to run away","泥棒[どろぼう]が逃[に]げました。","The thief ran away."
"にる","似る","to be similar to","私[わたし]の妹[いもうと]は、私[わたし]によく似[に]ています。","My younger sister looks a lot like me."
"ぬすむ","盗む","to steal","泥棒[どろぼう]が宝石[ほうせき]を盗[ぬす]みました。","The thief stole the jewels."
"のこす","残す","to leave something remaining","夕食[ゆうしょく]の残[のこ]りを、明日[あした]の朝ご飯[あさごはん]にします。","I will make the leftovers from dinner into breakfast tomorrow."
"のりかえる","乗り換える","to change (trains)","新宿駅[しんじゅくえき]で、別[べつ]の電車[でんしゃ]に乗[の]り換[か]えます。","I will change to another train at Shinjuku Station."
"はこぶ","運ぶ","to carry, to transport","重[おも]い荷物[にもつ]を、部屋[へや]まで運[はこ]びます。","I will carry the heavy luggage to the room."
"はじまる","始まる","to start","会議[かいぎ]が午前[ごぜん]１０時[じゅうじ]に始[はじ]まります。","The meeting starts at 10 a.m."
"はる","貼る","to attach, to stick","ポスターを壁[かべ]に貼[は]ります。","I will paste the poster on the wall."
"ひろう","拾う","to pick up","道[みち]に落[お]ちていた財布[さいふ]を拾[ひろ]いました。","I picked up a wallet that was dropped on the road."
"ふく","吹く","to blow","強[つよ]い風[かぜ]が吹[ふ]いています。","A strong wind is blowing."
"へらす","減らす","to reduce","ダイエットをして、食事[しょくじ]の量[りょう]を減[へ]らします。","I will reduce the amount of food I eat by dieting."
"まにあう","間に合う","to be on time, be sufficient","電車[でんしゃ]に間[ま]に合[あ]って、よかった。","I'm glad I made it in time for the train."
"もうしこむ","申し込む","to apply, to register","旅行[りょこう]のツアーに申[もう]し込[こ]みます。","I will apply for a travel tour."
"やくにたつ","役に立つ","to be useful","この辞書[じしょ]は、日本語[にほんご]の勉強[べんきょう]に役[やく]に立[た]ちます。","This dictionary is useful for studying Japanese."
"やる","","to do, to give","犬[いぬ]に餌[えさ]をやります。","I will feed the dog."
"ゆるす","許す、赦す","to permit, to forgive","友達[ともだち]の過[あやま]ちを許[ゆる]します。","I will forgive my friend's mistake."
"よる","","to drop by","仕事[しごと]の帰[かえ]りに、コンビニに寄[よ]ります。","I will drop by a convenience store on my way home from work."
"よろこぶ","喜ぶ","to rejoice","友達[ともだち]が試験[しけん]に合格[ごうかく]して、一緒[いっしょ]に喜[よろこ]びました。","I rejoiced with my friend who passed the exam."
"わかれる","別れる","to separate","駅[えき]で友達[ともだち]と別[わか]れます。","I will part with my friend at the station."
"わたる","渡る","to cross","信号[しんごう]を守[まも]って、道路[どうろ]を渡[わた]ります。","I will cross the road obeying the traffic lights."